station,Date,Mean_TemperatureC,Mean_Humidity,Mean_Sea_Level_PressurehPa,Precipitationmm,CloudCover
HBA,2015-12-06,13,59,1024,0.25,6
HBA,2015-12-07,17,51,1022,0.0,4
HBA,2015-12-08,19,63,1008,1.02,4
HBA,2015-12-09,19,34,1003,0.0,1
HBA,2015-12-10,17,41,1009,0.0,6
HBA,2015-12-11,13,46,1001,2.03,5
HBA,2015-12-12,11,45,1011,0.25,4
HBA,2015-12-13,16,40,1013,0.0,5
HBA,2015-12-14,17,55,1015,0.0,5
HBA,2015-12-15,18,65,1017,0.0,4
HBA,2015-12-16,19,72,1019,0.0,4
HBA,2015-12-17,20,64,1016,0.0,5
HBA,2015-12-18,17,76,1014,0.0,6
HBA,2015-12-19,21,68,1006,0.0,6
HBA,2015-12-20,23,52,998,0.0,3
HBA,2015-12-21,16,40,1015,0.0,4
HBA,2015-12-22,13,49,1026,0.0,1
HBA,2015-12-23,16,59,1021,0.0,4
HBA,2015-12-24,20,47,1016,0.0,2
HBA,2015-12-25,26,29,1006,0.0,1
HBA,2015-12-26,17,67,1003,9.91,6
HBA,2015-12-27,12,52,1020,0.0,4
HBA,2015-12-28,15,55,1024,0.0,4
HBA,2015-12-29,17,59,1020,0.0,2
HBA,2015-12-30,17,70,1015,0.0,1
HBA,2015-12-31,20,50,1011,0.0,2
HBA,2016-01-01,18,70,1016,0.0,6
HBA,2016-01-02,17,52,1021,0.0,5
HBA,2016-01-03,17,46,1025,0.0,4
HBA,2016-01-04,14,59,1027,0.0,5
HBA,2016-01-05,16,62,1023,0.25,6
HBA,2016-01-06,17,58,1021,0.0,5
HBA,2016-01-07,18,51,1018,0.0,6
HBA,2016-01-08,20,45,1016,0.0,4
HBA,2016-01-09,21,43,1016,0.0,1
HBA,2016-01-10,21,59,1015,0.0,5
HBA,2016-01-11,19,65,1008,1.02,5
HBA,2016-01-12,17,69,1015,0.0,5
HBA,2016-01-13,23,44,1009,0.0,3
HBA,2016-01-14,17,50,1011,0.0,6
HBA,2016-01-15,14,51,1027,0.0,3
HBA,2016-01-16,16,61,1028,0.0,3
HBA,2016-01-17,20,58,1023,0.0,5
HBA,2016-01-18,19,61,1014,0.0,5
HBA,2016-01-19,18,70,1008,0.0,4
HBA,2016-01-20,17,58,1008,0.0,5
HBA,2016-01-21,18,50,1007,0.0,3
HBA,2016-01-22,18,55,1007,0.0,5
HBA,2016-01-23,19,56,1008,0.0,3
HBA,2016-01-24,19,62,1011,0.76,5
HBA,2016-01-25,16,55,1018,0.0,6
HBA,2016-01-26,17,51,1023,0.0,6
HBA,2016-01-27,17,69,1019,0.25,6
HBA,2016-01-28,21,74,1005,6.1,5
HBA,2016-01-29,18,88,1007,11.94,5
HBA,2016-01-30,19,71,1014,0.0,6
HBA,2016-01-31,19,83,1009,0.0,6
HBA,2016-02-01,21,82,1005,0.25,4
HBA,2016-02-02,23,61,1004,0.0,3
HBA,2016-02-03,20,57,1005,0.0,5
HBA,2016-02-04,16,54,1019,0.0,2
HBA,2016-02-05,19,61,1023,0.0,4
HBA,2016-02-06,19,67,1020,0.0,3
HBA,2016-02-07,19,76,1017,0.0,4
HBA,2016-02-08,21,56,1018,0.0,3
HBA,2016-02-09,18,54,1018,0.0,3
HBA,2016-02-10,19,61,1012,0.0,5
HBA,2016-02-11,17,65,1016,0.0,4
HBA,2016-02-12,20,62,1014,0.0,5
HBA,2016-02-13,22,50,1003,0.0,5
HBA,2016-02-14,18,37,1003,0.0,2
HBA,2016-02-15,17,48,1003,5.08,5
HBA,2016-02-16,12,51,1009,0.25,4
HBA,2016-02-17,13,51,1009,0.0,4
HBA,2016-02-18,16,78,1007,0.25,6
HBA,2016-02-19,16,46,1008,0.25,4
HBA,2016-02-20,18,46,1018,0.0,3
HBA,2016-02-21,17,62,1025,0.0,2
HBA,2016-02-22,19,76,1021,0.76,5
HBA,2016-02-23,25,51,1010,0.0,5
HBA,2016-02-24,21,58,1006,7.87,7
HBA,2016-02-25,19,60,1005,0.0,4
HBA,2016-02-26,18,42,1008,0.0,4
HBA,2016-02-27,21,47,1015,0.0,3
HBA,2016-02-28,16,59,1018,0.25,6
HBA,2016-02-29,16,69,1025,0.0,6
HBA,2016-03-01,20,57,1018,0.0,5
HBA,2016-03-02,24,62,1014,0.0,5
HBA,2016-03-03,17,56,1021,0.0,3
HBA,2016-03-04,18,68,1017,0.0,5
HBA,2016-03-05,18,65,1017,0.0,2
HBA,2016-03-06,18,73,1020,0.0,6
HBA,2016-03-07,18,75,1022,0.0,6
HBA,2016-03-08,19,63,1023,0.0,5
HBA,2016-03-09,21,60,1012,0.25,4
HBA,2016-03-10,14,62,1023,0.0,5
HBA,2016-03-11,19,78,1019,0.0,6
HBA,2016-03-12,20,86,1019,0.76,5
HBA,2016-03-13,19,87,1020,0.0,5
HBA,2016-03-14,16,62,1022,0.25,6
HBA,2016-03-15,14,50,1030,0.0,6
HBA,2016-03-16,16,63,1025,0.0,5
HBA,2016-03-17,18,57,1010,0.0,2
HBA,2016-03-18,16,68,994,1.02,6
HBA,2016-03-19,12,52,1011,0.76,5
HBA,2016-03-20,14,53,1023,0.0,6
HBA,2016-03-21,14,64,1023,0.0,4
HBA,2016-03-22,14,71,1020,0.0,2
HBA,2016-03-23,15,67,1015,0.0,4
HBA,2016-03-24,12,60,1018,0.0,2
HBA,2016-03-25,16,58,1014,0.0,5
HBA,2016-03-26,16,52,1013,0.0,5
HBA,2016-03-27,12,48,1018,0.0,2
HBA,2016-03-28,13,49,1019,0.0,3
HBA,2016-03-29,12,53,1021,0.0,2
HBA,2016-03-30,14,61,1019,0.0,4
HBA,2016-03-31,18,54,1014,0.0,3
HBA,2016-04-01,20,47,1005,0.0,5
HBA,2016-04-02,16,44,1009,0.25,4
HBA,2016-04-03,14,50,1022,0.0,4
HBA,2016-04-04,16,57,1018,0.0,4
HBA,2016-04-05,19,52,1005,0.0,6
HBA,2016-04-06,12,58,1010,1.02,5
HBA,2016-04-07,12,54,1018,0.0,3
HBA,2016-04-08,17,52,1016,0.0,4
HBA,2016-04-09,14,50,1012,0.0,3
HBA,2016-04-10,17,44,1005,0.0,5
HBA,2016-04-11,14,47,1013,0.0,6
HBA,2016-04-12,13,61,1022,0.0,5
HBA,2016-04-13,12,63,1028,0.0,5
HBA,2016-04-14,13,69,1026,0.25,5
HBA,2016-04-15,17,55,1016,0.0,6
HBA,2016-04-16,12,52,1020,0.0,3
HBA,2016-04-17,11,65,1026,0.0,2
HBA,2016-04-18,13,58,1020,0.0,5
HBA,2016-04-19,18,51,1016,0.0,NA
HBA,2016-04-20,18,48,1019,0.0,NA
HBA,2016-04-21,16,70,1016,1.02,6
HBA,2016-04-22,11,58,1024,0.25,4
HBA,2016-04-23,12,59,1027,0.0,4
HBA,2016-04-24,14,49,1028,0.0,1
HBA,2016-04-25,13,60,1026,0.0,2
HBA,2016-04-26,16,47,1021,0.0,NA
HBA,2016-04-27,18,46,1014,0.0,NA
HBA,2016-04-28,16,80,1015,0.76,5
HBA,2016-04-29,16,79,1012,2.03,6
HBA,2016-04-30,17,66,1009,0.25,2
HBA,2016-05-01,13,74,996,3.05,6
HBA,2016-05-02,13,48,999,0.0,5
HBA,2016-05-03,12,67,990,2.03,5
HBA,2016-05-04,10,54,1004,0.0,3
HBA,2016-05-05,16,50,1004,0.51,5
HBA,2016-05-06,14,49,1008,0.0,4
HBA,2016-05-07,11,66,1016,0.0,6
HBA,2016-05-08,12,86,1013,6.1,7
HBA,2016-05-09,14,91,997,0.0,6
HBA,2016-05-10,11,60,988,4.06,4
HBA,2016-05-11,11,54,992,0.0,4
HBA,2016-05-12,14,47,994,0.0,3
HBA,2016-05-13,16,44,1005,0.25,3
HBA,2016-05-14,17,49,1007,0.0,5
HBA,2016-05-15,13,53,1002,0.76,3
HBA,2016-05-16,12,51,1009,0.25,2
HBA,2016-05-17,12,55,1004,0.0,4
HBA,2016-05-18,13,57,1008,0.0,5
HBA,2016-05-19,10,60,998,2.03,5
HBA,2016-05-20,11,60,1014,0.0,3
HBA,2016-05-21,11,66,1021,0.0,5
HBA,2016-05-22,13,65,1014,0.0,NA
HBA,2016-05-23,13,67,1005,6.1,5
HBA,2016-05-24,9,54,1014,0.0,3
HBA,2016-05-25,6,74,1009,0.0,5
HBA,2016-05-26,9,71,1002,0.0,6
HBA,2016-05-27,10,66,1005,0.0,6
HBA,2016-05-28,9,74,1008,0.0,2
HBA,2016-05-29,8,82,1016,4.06,5
HBA,2016-05-30,7,75,1028,0.0,5
HBA,2016-05-31,7,80,1033,0.25,1
HBA,2016-06-01,7,83,1031,0.0,1
HBA,2016-06-02,7,79,1031,0.0,2
HBA,2016-06-03,7,82,1031,0.0,3
HBA,2016-06-04,6,92,1024,0.0,5
HBA,2016-06-05,11,80,1010,0.0,6
HBA,2016-06-06,17,84,999,5.08,7
HBA,2016-06-07,14,94,994,7.11,6
HBA,2016-06-08,16,67,995,0.0,5
HBA,2016-06-09,11,80,996,0.0,5
HBA,2016-06-10,10,60,1005,2.03,4
HBA,2016-06-11,6,65,1014,2.03,4
HBA,2016-06-12,8,59,1027,0.0,5
HBA,2016-06-13,12,57,1026,0.0,6
HBA,2016-06-14,11,57,1024,1.02,3
HBA,2016-06-15,8,66,1026,0.0,1
HBA,2016-06-16,10,67,1013,0.0,4
HBA,2016-06-17,10,87,1009,2.03,5
HBA,2016-06-18,8,73,1020,0.0,5
HBA,2016-06-19,8,84,1021,0.0,2
HBA,2016-06-20,8,89,1009,2.03,7
HBA,2016-06-21,8,78,991,3.05,6
HBA,2016-06-22,9,66,988,3.05,3
HBA,2016-06-23,8,72,992,5.08,5
HBA,2016-06-24,6,68,1000,0.0,4
HBA,2016-06-25,6,69,1015,0.0,2
HBA,2016-06-26,9,70,1012,0.0,5
HBA,2016-06-27,8,64,1010,0.0,2
HBA,2016-06-28,11,63,1013,0.0,5
HBA,2016-06-29,12,72,1017,0.0,5
HBA,2016-06-30,9,66,1005,0.0,6
HBA,2016-07-01,8,71,1011,0.0,4
HBA,2016-07-02,10,61,1013,0.0,5
HBA,2016-07-03,12,60,1011,2.03,6
HBA,2016-07-04,8,93,1016,4.06,6
HBA,2016-07-05,9,92,1019,0.25,6
HBA,2016-07-06,9,68,1023,0.0,5
HBA,2016-07-07,9,75,1026,0.0,6
HBA,2016-07-08,7,90,1026,0.51,6
HBA,2016-07-09,9,89,1024,0.25,4
HBA,2016-07-10,8,80,1019,0.25,4
HBA,2016-07-11,11,61,993,0.0,3
HBA,2016-07-12,10,62,983,4.06,5
HBA,2016-07-13,6,60,999,0.25,3
HBA,2016-07-14,9,54,1008,0.0,5
HBA,2016-07-15,11,54,1019,0.0,4
HBA,2016-07-16,12,55,1025,0.0,3
HBA,2016-07-17,10,61,1021,0.0,1
HBA,2016-07-18,12,55,1006,0.51,5
HBA,2016-07-19,12,52,1010,0.0,2
HBA,2016-07-20,11,64,1018,0.0,2
HBA,2016-07-21,8,71,1011,1.02,2
HBA,2016-07-22,10,67,985,2.03,4
HBA,2016-07-23,4,67,991,1.02,5
HBA,2016-07-24,6,66,1003,0.0,3
HBA,2016-07-25,7,69,994,0.25,5
HBA,2016-07-26,7,63,996,0.25,4
HBA,2016-07-27,7,56,1001,0.51,4
HBA,2016-07-28,11,50,1007,0.0,4
HBA,2016-07-29,11,58,1008,0.51,4
HBA,2016-07-30,6,64,1014,0.25,3
HBA,2016-07-31,10,57,1007,0.0,3
HBA,2016-08-01,7,63,1007,0.25,5
HBA,2016-08-02,9,59,1015,0.25,2
HBA,2016-08-03,8,76,1025,1.02,5
HBA,2016-08-04,8,85,1033,0.0,5
HBA,2016-08-05,7,75,1032,0.25,6
HBA,2016-08-06,7,71,1029,0.0,4
HBA,2016-08-07,8,76,1027,0.0,6
HBA,2016-08-08,8,72,1021,0.25,5
HBA,2016-08-09,9,61,1007,2.03,5
HBA,2016-08-10,11,59,999,0.0,4
HBA,2016-08-11,9,58,1007,0.0,3
HBA,2016-08-12,12,58,1009,0.0,6
HBA,2016-08-13,11,55,1007,2.03,4
HBA,2016-08-14,10,49,1015,0.25,2
HBA,2016-08-15,12,56,1022,0.0,5
HBA,2016-08-16,13,60,1016,0.0,6
HBA,2016-08-17,9,72,1019,0.51,6
HBA,2016-08-18,8,70,1016,0.0,4
HBA,2016-08-19,12,55,1003,0.0,6
HBA,2016-08-20,9,59,1001,0.0,5
HBA,2016-08-21,9,53,1005,0.0,3
HBA,2016-08-22,8,54,1010,0.0,1
HBA,2016-08-23,8,60,1013,0.0,2
HBA,2016-08-24,7,63,1012,0.0,2
HBA,2016-08-25,7,71,1011,0.76,3
HBA,2016-08-26,9,58,1013,0.25,2
HBA,2016-08-27,11,53,1009,0.25,5
HBA,2016-08-28,8,55,1014,0.0,3
HBA,2016-08-29,7,66,1023,0.25,2
HBA,2016-08-30,8,77,1020,0.25,7
HBA,2016-08-31,13,79,1008,3.05,5
HBA,2016-09-01,12,57,1012,0.51,3
HBA,2016-09-02,9,76,1013,0.0,5
HBA,2016-09-03,8,84,1005,0.25,5
HBA,2016-09-04,12,52,1010,0.0,3
HBA,2016-09-05,14,51,1019,0.0,3
HBA,2016-09-06,14,53,1022,0.0,4
HBA,2016-09-07,10,72,1029,0.0,2
HBA,2016-09-08,16,54,1018,0.0,4
HBA,2016-09-09,16,63,1011,1.02,6
HBA,2016-09-10,11,78,1010,0.0,4
HBA,2016-09-11,11,66,1012,0.0,4
HBA,2016-09-12,7,62,1020,0.0,4
HBA,2016-09-13,9,72,1024,0.0,4
HBA,2016-09-14,8,78,1014,3.05,4
HBA,2016-09-15,10,88,1004,9.91,6
HBA,2016-09-16,11,61,1011,0.0,5
HBA,2016-09-17,12,59,1013,0.0,4
HBA,2016-09-18,11,81,1008,3.05,6
HBA,2016-09-19,10,80,1007,0.0,4
HBA,2016-09-20,12,69,1011,0.25,5
HBA,2016-09-21,12,75,1013,0.0,6
HBA,2016-09-22,12,82,1015,0.0,5
HBA,2016-09-23,13,76,1016,0.0,7
HBA,2016-09-24,12,77,1008,0.0,5
HBA,2016-09-25,12,53,1004,0.0,3
HBA,2016-09-26,10,66,1009,3.05,5
HBA,2016-09-27,10,71,1007,0.0,2
HBA,2016-09-28,12,64,1007,0.0,3
HBA,2016-09-29,12,76,996,8.89,6
HBA,2016-09-30,12,74,990,0.25,5
MEL,2015-10-01,13,59,1027,0.0,2
MEL,2015-10-02,18,49,1030,0.0,5
MEL,2015-10-03,23,25,1024,0.0,NA
MEL,2015-10-04,21,41,1020,0.0,NA
MEL,2015-10-05,22,42,1018,0.0,NA
MEL,2015-10-06,24,26,1015,0.0,7
MEL,2015-10-07,12,51,1033,0.0,2
MEL,2015-10-08,14,62,1034,0.0,4
MEL,2015-10-09,19,52,1028,0.0,3
MEL,2015-10-10,23,46,1023,2.03,6
MEL,2015-10-11,19,66,1017,0.51,6
MEL,2015-10-12,12,81,1019,0.0,6
MEL,2015-10-13,11,66,1023,0.0,2
MEL,2015-10-14,17,58,1021,0.0,2
MEL,2015-10-15,25,29,1016,0.0,NA
MEL,2015-10-16,19,58,1019,0.25,6
MEL,2015-10-17,16,68,1025,0.0,5
MEL,2015-10-18,14,64,1028,0.0,5
MEL,2015-10-19,17,54,1022,0.0,NA
MEL,2015-10-20,21,36,1014,2.03,8
MEL,2015-10-21,16,80,1014,6.1,6
MEL,2015-10-22,12,78,1020,0.25,6
MEL,2015-10-23,13,60,1022,0.0,5
MEL,2015-10-24,13,66,1021,0.0,4
MEL,2015-10-25,19,42,1013,0.0,6
MEL,2015-10-26,13,72,1019,0.51,6
MEL,2015-10-27,16,52,1024,0.0,1
MEL,2015-10-28,17,44,1021,0.0,1
MEL,2015-10-29,18,59,1021,0.0,6
MEL,2015-10-30,19,46,1018,0.0,6
MEL,2015-10-31,19,74,1013,5.08,5
MEL,2015-11-01,20,68,1008,0.0,4
MEL,2015-11-02,13,80,1014,0.51,6
MEL,2015-11-03,13,56,1018,0.0,5
MEL,2015-11-04,18,74,1012,7.11,4
MEL,2015-11-05,19,82,1006,21.08,5
MEL,2015-11-06,17,82,1009,0.0,6
MEL,2015-11-07,13,64,1019,0.0,5
MEL,2015-11-08,16,52,1021,0.0,3
MEL,2015-11-09,23,31,1015,0.0,NA
MEL,2015-11-10,15,81,1019,1.02,6
MEL,2015-11-11,14,71,1019,0.0,6
MEL,2015-11-12,18,76,1015,0.0,5
MEL,2015-11-13,16,72,1016,0.0,4
MEL,2015-11-14,13,65,1018,0.0,3
MEL,2015-11-15,16,68,1020,0.0,4
MEL,2015-11-16,18,61,1016,0.0,4
MEL,2015-11-17,23,33,1012,0.0,8
MEL,2015-11-18,19,51,1012,0.0,4
MEL,2015-11-19,26,46,1013,0.0,7
MEL,2015-11-20,16,77,1013,2.03,5
MEL,2015-11-21,14,64,1021,0.0,4
MEL,2015-11-22,16,54,1018,0.0,4
MEL,2015-11-23,16,63,1016,0.0,4
MEL,2015-11-24,18,56,1014,0.0,3
MEL,2015-11-25,22,32,1001,0.0,4
MEL,2015-11-26,17,46,1008,0.25,5
MEL,2015-11-27,11,53,1017,0.0,5
MEL,2015-11-28,14,56,1016,0.0,4
MEL,2015-11-29,16,61,1014,0.0,5
MEL,2015-11-30,20,49,1006,0.0,1
MEL,2015-12-01,17,53,1009,0.0,5
MEL,2015-12-02,12,48,1022,0.0,2
MEL,2015-12-03,14,60,1027,0.0,3
MEL,2015-12-04,20,54,1022,0.0,1
MEL,2015-12-05,20,69,1019,0.0,6
MEL,2015-12-06,21,67,1016,0.0,5
MEL,2015-12-07,22,73,1013,0.51,7
MEL,2015-12-08,27,48,1007,0.0,5
MEL,2015-12-09,20,58,1014,0.0,3
MEL,2015-12-10,18,54,1013,0.0,2
MEL,2015-12-11,14,51,1011,0.25,5
MEL,2015-12-12,13,49,1017,0.0,3
MEL,2015-12-13,18,43,1015,0.0,2
MEL,2015-12-14,18,57,1014,0.0,6
MEL,2015-12-15,19,61,1015,0.0,5
MEL,2015-12-16,22,65,1015,0.0,5
MEL,2015-12-17,26,43,1012,0.0,NA
MEL,2015-12-18,29,33,1010,0.0,6
MEL,2015-12-19,30,36,1006,0.25,NA
MEL,2015-12-20,28,42,1004,2.03,6
MEL,2015-12-21,17,57,1020,0.0,6
MEL,2015-12-22,18,54,1021,0.0,5
MEL,2015-12-23,21,61,1016,0.0,1
MEL,2015-12-24,24,43,1014,0.0,NA
MEL,2015-12-25,28,22,1007,0.0,NA
MEL,2015-12-26,20,57,1008,0.51,6
MEL,2015-12-27,14,56,1022,0.0,4
MEL,2015-12-28,16,56,1025,0.0,3
MEL,2015-12-29,19,64,1022,0.0,3
MEL,2015-12-30,23,42,1015,0.0,1
MEL,2015-12-31,31,16,1011,0.0,NA
MEL,2016-01-01,23,47,1013,0.0,6
MEL,2016-01-02,21,62,1014,0.0,6
MEL,2016-01-03,21,59,1015,0.0,4
MEL,2016-01-04,19,65,1017,0.0,5
MEL,2016-01-05,19,65,1016,0.0,3
MEL,2016-01-06,20,69,1017,0.0,5
MEL,2016-01-07,19,66,1021,0.0,3
MEL,2016-01-08,18,59,1022,0.0,5
MEL,2016-01-09,20,66,1021,0.0,5
MEL,2016-01-10,23,50,1016,0.0,7
MEL,2016-01-11,27,39,1010,0.25,4
MEL,2016-01-12,22,69,1014,0.0,3
MEL,2016-01-13,29,38,1008,0.0,1
MEL,2016-01-14,18,63,1018,1.02,6
MEL,2016-01-15,15,55,1029,0.51,5
MEL,2016-01-16,16,58,1027,0.0,1
MEL,2016-01-17,22,41,1020,0.0,NA
MEL,2016-01-18,28,21,1014,0.0,NA
MEL,2016-01-19,23,46,1011,0.0,5
MEL,2016-01-20,23,61,1009,1.02,5
MEL,2016-01-21,22,82,1009,0.0,7
MEL,2016-01-22,20,84,1009,5.08,6
MEL,2016-01-23,19,76,1012,0.0,6
MEL,2016-01-24,19,75,1014,0.0,6
MEL,2016-01-25,18,71,1016,0.25,5
MEL,2016-01-26,22,60,1015,0.0,5
MEL,2016-01-27,23,63,1010,0.0,4
MEL,2016-01-28,23,66,1003,0.0,4
MEL,2016-01-29,16,87,1003,7.87,5
MEL,2016-01-30,16,78,1005,0.0,5
MEL,2016-01-31,17,74,1002,0.51,5
MEL,2016-02-01,17,66,1005,0.0,1
MEL,2016-02-02,23,65,1004,0.0,4
MEL,2016-02-03,18,75,1009,2.03,6
MEL,2016-02-04,18,60,1018,0.0,5
MEL,2016-02-05,21,61,1018,0.0,4
MEL,2016-02-06,22,49,1015,0.0,NA
MEL,2016-02-07,24,52,1016,0.0,2
MEL,2016-02-08,20,68,1021,0.0,5
MEL,2016-02-09,21,61,1020,0.0,5
MEL,2016-02-10,19,64,1015,0.0,6
MEL,2016-02-11,21,60,1016,0.0,3
MEL,2016-02-12,21,63,1014,0.0,5
MEL,2016-02-13,26,46,1008,0.0,5
MEL,2016-02-14,19,57,1011,0.0,4
MEL,2016-02-15,19,48,1012,0.0,3
MEL,2016-02-16,16,57,1015,0.0,6
MEL,2016-02-17,18,63,1014,0.0,6
MEL,2016-02-18,18,70,1011,0.0,5
MEL,2016-02-19,18,74,1013,0.0,6
MEL,2016-02-20,17,50,1021,0.0,4
MEL,2016-02-21,19,59,1023,0.0,1
MEL,2016-02-22,22,44,1021,0.0,NA
MEL,2016-02-23,29,31,1012,0.0,3
MEL,2016-02-24,23,55,1010,0.0,6
MEL,2016-02-25,24,68,1010,0.0,5
MEL,2016-02-26,17,59,1019,0.0,4
MEL,2016-02-27,20,60,1020,0.0,5
MEL,2016-02-28,19,58,1020,0.0,5
MEL,2016-02-29,19,67,1020,0.0,5
MEL,2016-03-01,23,54,1016,0.0,3
MEL,2016-03-02,27,39,1016,0.0,6
MEL,2016-03-03,21,65,1020,0.0,5
MEL,2016-03-04,27,49,1016,0.0,4
MEL,2016-03-05,21,78,1019,0.0,6
MEL,2016-03-06,21,73,1019,0.0,5
MEL,2016-03-07,21,77,1020,0.0,6
MEL,2016-03-08,29,48,1017,0.0,5
MEL,2016-03-09,24,49,1016,0.0,6
MEL,2016-03-10,19,92,1019,5.08,7
MEL,2016-03-11,23,80,1017,0.0,5
MEL,2016-03-12,20,86,1020,0.0,7
MEL,2016-03-13,20,85,1020,0.0,7
MEL,2016-03-14,18,74,1020,0.0,6
MEL,2016-03-15,20,64,1019,0.0,4
MEL,2016-03-16,22,59,1016,0.0,NA
MEL,2016-03-17,26,39,1009,2.03,NA
MEL,2016-03-18,19,64,1000,3.05,5
MEL,2016-03-19,14,66,1015,1.02,6
MEL,2016-03-20,16,55,1019,0.0,3
MEL,2016-03-21,16,72,1020,0.0,2
MEL,2016-03-22,18,66,1018,0.0,1
MEL,2016-03-23,21,44,1016,0.0,6
MEL,2016-03-24,18,78,1020,0.25,6
MEL,2016-03-25,17,66,1020,0.0,6
MEL,2016-03-26,16,72,1020,0.51,6
MEL,2016-03-27,16,67,1021,0.0,6
MEL,2016-03-28,13,53,1020,0.0,6
MEL,2016-03-29,16,51,1020,0.0,6
MEL,2016-03-30,14,55,1020,0.0,6
MEL,2016-03-31,14,61,1019,0.0,4
MEL,2016-04-01,19,43,1013,0.0,2
MEL,2016-04-02,16,46,1017,0.0,4
MEL,2016-04-03,14,57,1025,0.0,4
MEL,2016-04-04,16,64,1020,0.0,NA
MEL,2016-04-05,19,39,1012,0.0,6
MEL,2016-04-06,13,86,1016,3.05,5
MEL,2016-04-07,12,69,1024,0.0,4
MEL,2016-04-08,14,65,1023,0.0,6
MEL,2016-04-09,16,55,1021,0.0,6
MEL,2016-04-10,17,56,1019,0.0,4
MEL,2016-04-11,17,71,1021,0.0,6
MEL,2016-04-12,16,73,1024,0.0,5
MEL,2016-04-13,14,74,1027,0.0,5
MEL,2016-04-14,18,66,1025,0.0,6
MEL,2016-04-15,19,48,1021,0.0,3
MEL,2016-04-16,16,81,1022,1.02,6
MEL,2016-04-17,14,62,1023,0.0,4
MEL,2016-04-18,17,59,1019,0.0,1
MEL,2016-04-19,20,45,1018,0.0,NA
MEL,2016-04-20,21,37,1020,0.0,NA
MEL,2016-04-21,19,57,1019,12.95,7
MEL,2016-04-22,14,65,1026,0.0,6
MEL,2016-04-23,14,76,1029,0.0,5
MEL,2016-04-24,14,79,1030,0.0,2
MEL,2016-04-25,17,58,1028,0.0,NA
MEL,2016-04-26,17,46,1025,0.0,NA
MEL,2016-04-27,19,37,1019,0.0,8
MEL,2016-04-28,20,52,1017,0.25,7
MEL,2016-04-29,18,70,1014,4.06,4
